date,total_cases,total_deaths,,
01/03/2020,0,0,,
02/03/2020,0,0,,
03/03/2020,3,1,,
04/03/2020,3,1,,
05/03/2020,7,3,,
06/03/2020,7,3,,
07/03/2020,7,3,,
08/03/2020,7,3,,
09/03/2020,34,3,,
10/03/2020,34,3,,
11/03/2020,36,3,,
12/03/2020,62,5,,
13/03/2020,72,7,,
14/03/2020,79,9,,
15/03/2020,95,11,,
16/03/2020,97,12,,
17/03/2020,122,12,,
18/03/2020,160,15,,
19/03/2020,210,19,,
20/03/2020,224,20,,
21/03/2020,268,23,,
22/03/2020,304,29,,
23/03/2020,355,29,,
24/03/2020,426,34,,
25/03/2020,472,43,,
26/03/2020,515,49,,
27/03/2020,566,57,,
28/03/2020,603,62,,
29/03/2020,701,67,,
30/03/2020,727,78,,
31/03/2020,741,84,,
01/04/2020,816,90,,
02/04/2020,909,95,,
03/04/2020,990,98,,
04/04/2020,1071,99,,
05/04/2020,1151,123,,
06/04/2020,1299,131,,
07/04/2020,1443,141,,
08/04/2020,1552,144,,
09/04/2020,1719,155,,
10/04/2020,1810,156,,
11/04/2020,1903,168,,
12/04/2020,2082,195,,
13/04/2020,2242,209,,
14/04/2020,2349,243,,
15/04/2020,2447,246,,
16/04/2020,2670,248,,
17/04/2020,2823,250,,
18/04/2020,2902,257,,
19/04/2020,3033,292,,
20/04/2020,3112,297,,
21/04/2020,3279,305,,
22/04/2020,3399,308,,
23/04/2020,3506,316,,
24/04/2020,3605,331,,
25/04/2020,3681,350,,
26/04/2020,3746,357,,
27/04/2020,3832,375,,
28/04/2020,3950,379,,
29/04/2020,4033,381,,
30/04/2020,4138,381,,
01/05/2020,4283,393,,
02/05/2020,4355,400,,
03/05/2020,4417,410,,
04/05/2020,4472,412,,
05/05/2020,4641,414,,
06/05/2020,4709,420,,
07/05/2020,4775,430,,
08/05/2020,4901,431,,
09/05/2020,4958,437,,
10/05/2020,5140,444,,
11/05/2020,5195,453,,
12/05/2020,5303,457,,
13/05/2020,5437,461,,
14/05/2020,5617,466,,
15/05/2020,5679,474,,
16/05/2020,5795,475,,
17/05/2020,5922,478,,
18/05/2020,5996,483,,
19/05/2020,6053,487,,
20/05/2020,6150,493,,
21/05/2020,6220,498,,
22/05/2020,6316,501,,
23/05/2020,6443,504,,
24/05/2020,6561,505,,
25/05/2020,6628,506,,
26/05/2020,6689,508,,
27/05/2020,6826,510,,
28/05/2020,6929,514,,
29/05/2020,7053,517,,
30/05/2020,7151,519,,
31/05/2020,7272,520,,
01/06/2020,7383,521,,
02/06/2020,7459,525,,
03/06/2020,7539,529,,
04/06/2020,7600,530,,
05/06/2020,7684,532,,
06/06/2020,7786,535,,
07/06/2020,7946,537,,
08/06/2020,8037,538,,
09/06/2020,8276,547,,
10/06/2020,8423,551,,
11/06/2020,8552,555,,
12/06/2020,8628,561,,
13/06/2020,8748,564,,
14/06/2020,8863,571,,
15/06/2020,8968,580,,
16/06/2020,9092,583,,
17/06/2020,9209,588,,
18/06/2020,9385,594,,
19/06/2020,9525,599,,
20/06/2020,9703,603,,
21/06/2020,9830,615,,
22/06/2020,9957,618,,
23/06/2020,10123,619,,
24/06/2020,10277,628,,
25/06/2020,10472,631,,
26/06/2020,10640,632,,
27/06/2020,10853,632,,
28/06/2020,10985,635,,
29/06/2020,11080,636,,
30/06/2020,11276,641,,
01/07/2020,11482,644,,
02/07/2020,11677,646,,
03/07/2020,11824,648,,
04/07/2020,12039,650,,
05/07/2020,12295,658,,
06/07/2020,12526,658,,
07/07/2020,12725,664,,
08/07/2020,13069,667,,
09/07/2020,13359,677,,
10/07/2020,13598,684,,
11/07/2020,13957,690,,
12/07/2020,14361,702,,
13/07/2020,14639,710,,
14/07/2020,14914,714,,
15/07/2020,15173,720,,
16/07/2020,15466,722,,
17/07/2020,15707,731,,
18/07/2020,16038,740,,
19/07/2020,16351,748,,
20/07/2020,16712,749,,
21/07/2020,17153,758,,
22/07/2020,17529,766,,
23/07/2020,17945,767,,
24/07/2020,18230,768,,
25/07/2020,18623,769,,
26/07/2020,19001,779,,
27/07/2020,19473,782,,
28/07/2020,19885,795,,
29/07/2020,20470,820,,
30/07/2020,20769,821,,
31/07/2020,21201,836,,
01/08/2020,21575,852,,
02/08/2020,21954,852,,
03/08/2020,22443,867,,
04/08/2020,22909,880,,
05/08/2020,23266,895,,
06/08/2020,23863,908,,
07/08/2020,24521,922,,
08/08/2020,25242,934,,
09/08/2020,25714,939,,
10/08/2020,26193,940,,
11/08/2020,26664,953,,
12/08/2020,27242,968,,
13/08/2020,27863,981,,
14/08/2020,28438,985,,
15/08/2020,29036,991,,
16/08/2020,29554,995,,
17/08/2020,30092,1011,,
18/08/2020,30597,1028,,
19/08/2020,31162,1046,,
20/08/2020,31757,1061,,
21/08/2020,32398,1076,,
22/08/2020,32999,1091,,
23/08/2020,33636,1107,,
24/08/2020,34295,1112,,
25/08/2020,34931,1129,,
26/08/2020,35642,1144,,
27/08/2020,36462,1147,,
28/08/2020,37278,1154,,
29/08/2020,38166,1172,,
30/08/2020,39280,1186,,
31/08/2020,40309,1202,,
01/09/2020,41250,1219,,
02/09/2020,42303,1237,,
03/09/2020,43709,1253,,
04/09/2020,44604,1260,,
05/09/2020,45446,1277,,
06/09/2020,46691,1289,,
07/09/2020,47796,1318,,
08/09/2020,48811,1330,,
09/09/2020,49837,1347,,
10/09/2020,51287,1365,,
11/09/2020,52321,1382,,
12/09/2020,53761,1404,,
13/09/2020,54864,1410,,
14/09/2020,55926,1440,,
15/09/2020,56953,1468,,
16/09/2020,58458,1498,,
17/09/2020,59472,1513,,
18/09/2020,60875,1535,,
19/09/2020,61807,1546,,
20/09/2020,62886,1561,,
21/09/2020,64196,1592,,
22/09/2020,65318,1624,,
23/09/2020,66505,1650,,
24/09/2020,67638,1664,,
25/09/2020,68927,1677,,
26/09/2020,70184,1679,,
27/09/2020,71370,1692,,
28/09/2020,72177,1704,,
29/09/2020,73309,1718,,
30/09/2020,74368,1731,,
01/10/2020,75521,1737,,
02/10/2020,76619,1740,,
03/10/2020,77784,1743,,
04/10/2020,79214,1761,,
05/10/2020,80036,1772,,
06/10/2020,81043,1806,,
07/10/2020,82383,1819,,
08/10/2020,83392,1838,,
09/10/2020,84364,1860,,
10/10/2020,85617,1877,,
11/10/2020,87006,1901,,
12/10/2020,88174,1922,,
13/10/2020,89228,1944,,
14/10/2020,90266,1961,,
15/10/2020,91337,1984,,
16/10/2020,92382,2008,,
17/10/2020,93356,2032,,
18/10/2020,94327,2051,,
19/10/2020,95253,2064,,
20/10/2020,96217,2086,,
21/10/2020,97217,2105,,
22/10/2020,98206,2120,,
23/10/2020,99158,2138,,
24/10/2020,100220,2153,,
25/10/2020,100991,2164,,
26/10/2020,101897,2185,,
27/10/2020,102678,2195,,
28/10/2020,103522,2211,,
29/10/2020,104235,2225,,
30/10/2020,104847,2239,,
31/10/2020,105597,2255,,
01/11/2020,106205,2273,,
02/11/2020,107229,2291,,
03/11/2020,107846,2300,,
04/11/2020,108620,2315,,
05/11/2020,109411,2331,,
06/11/2020,110083,2348,,
07/11/2020,111201,2359,,
08/11/2020,112027,2366,,
09/11/2020,112743,2377,,
10/11/2020,113756,2391,,
11/11/2020,114343,2403,,
12/11/2020,115174,2414,,
13/11/2020,116207,2428,,
14/11/2020,117462,2441,,
15/11/2020,118627,2448,,
16/11/2020,119633,2455,,
17/11/2020,120671,2459,,
18/11/2020,121818,2470,,
19/11/2020,123003,2484,,
20/11/2020,124243,2501,,
21/11/2020,125822,2515,,
22/11/2020,127164,2531,,
23/11/2020,128173,2548,,
24/11/2020,129188,2567,,
25/11/2020,130461,2584,,
26/11/2020,131525,2597,,
27/11/2020,132961,2614,,
28/11/2020,134331,2632,,
29/11/2020,135762,2652,,
30/11/2020,136861,2671,,
01/12/2020,137919,2689,,
02/12/2020,139085,2710,,
03/12/2020,140238,2734,,
04/12/2020,141270,2757,,
05/12/2020,142630,2779,,
06/12/2020,143961,2799,,
07/12/2020,145427,2823,,
08/12/2020,146601,2842,,
09/12/2020,147838,2860,,
10/12/2020,149018,2880,,
11/12/2020,150250,2902,,
12/12/2020,151201,2922,,
13/12/2020,152499,2941,,
14/12/2020,154065,2963,,
15/12/2020,155122,2990,,
16/12/2020,156343,3010,,
17/12/2020,158033,3027,,
18/12/2020,159620,3048,,
19/12/2020,161519,3068,,
20/12/2020,163111,3087,,
21/12/2020,164577,3097,,
22/12/2020,165888,3115,,
23/12/2020,167842,3130,,
24/12/2020,169775,3146,,
25/12/2020,171871,3167,,
26/12/2020,173929,3182,,
27/12/2020,175926,3204,,
28/12/2020,177604,3226,,
29/12/2020,179660,3246,,
30/12/2020,181713,3266,,
31/12/2020,183735,3287,,
01/01/2021,185691,3308,,
02/01/2021,187586,3334,,
03/01/2021,189243,3345,,
04/01/2021,191075,3369,,
05/01/2021,192899,3392,,
06/01/2021,195301,3410,,
07/01/2021,197699,3435,,
08/01/2021,200658,3463,,
09/01/2021,203411,3485,,
10/01/2021,206122,3517,,
11/01/2021,208583,3551,,
12/01/2021,211252,3589,,
13/01/2021,214728,3634,,
14/01/2021,217893,3675,,
15/01/2021,220434,3710,,
16/01/2021,223970,3745,,
17/01/2021,227365,3779,,
18/01/2021,229726,3815,,
19/01/2021,232289,3836,,
20/01/2021,236075,3868,,
21/01/2021,239226,3900,,
22/01/2021,243018,3940,,
23/01/2021,246303,3980,,
24/01/2021,249815,4024,,
25/01/2021,252266,4063,,
26/01/2021,254580,4108,,
27/01/2021,256416,4134,,
28/01/2021,259305,4185,,
29/01/2021,262753,4224,,
30/01/2021,266244,4254,,
31/01/2021,269718,4267,,
01/02/2021,273332,4337,,
02/02/2021,276694,4379,,
03/02/2021,280261,4420,,
04/02/2021,283893,4461,,
05/02/2021,287233,4502,,
06/02/2021,289612,4541,,
07/02/2021,293825,4587,,
08/02/2021,296969,4631,,
09/02/2021,300406,4681,,
10/02/2021,303715,4725,,
11/02/2021,306229,4748,,
12/02/2021,310039,4798,,
13/02/2021,313057,4850,,
14/02/2021,315553,4895,,
15/02/2021,317432,4940,,
16/02/2021,319293,4987,,
17/02/2021,320738,5026,,
18/02/2021,321111,5044,,
19/02/2021,323031,5081,,
20/02/2021,325903,5121,,
21/02/2021,328623,5172,,
22/02/2021,331094,5206,,
23/02/2021,331876,5248,,
24/02/2021,332658,5301,,
25/02/2021,334239,5346,,
26/02/2021,335900,5385,,
27/02/2021,337637,5439,,
28/02/2021,339735,5478,,
01/03/2021,341793,5528,,
02/03/2021,342371,5568,,
03/03/2021,343808,5613,,
04/03/2021,345816,5657,,
05/03/2021,346975,5702,,
06/03/2021,348591,5748,,
07/03/2021,350425,5790,,
08/03/2021,352208,5838,,
09/03/2021,353075,5883,,
10/03/2021,354115,5923,,
11/03/2021,355869,5943,,
12/03/2021,357742,5969,,
13/03/2021,358776,5991,,
14/03/2021,359980,6026,,
15/03/2021,361535,6038,,
16/03/2021,362370,6062,,
17/03/2021,363700,6077,,
18/03/2021,365419,6100,,
19/03/2021,367007,6120,,
20/03/2021,368944,6143,,
21/03/2021,370582,6160,,
22/03/2021,372056,6179,,
23/03/2021,372871,6206,,
24/03/2021,373761,6224,,
25/03/2021,375487,6241,,
26/03/2021,376868,6260,,
27/03/2021,378222,6281,,
28/03/2021,379692,6304,,
29/03/2021,380706,6324,,
30/03/2021,381090,6327,,
31/03/2021,382055,6341,,
01/04/2021,383392,6344,,
02/04/2021,384632,6351,,
03/04/2021,385730,6356,,
04/04/2021,386466,6360,,
05/04/2021,386989,6372,,
06/04/2021,387476,6379,,
07/04/2021,388338,6391,,
08/04/2021,389577,6410,,
09/04/2021,390590,6424,,
10/04/2021,391567,6435,,
11/04/2021,392598,6450,,
12/04/2021,393290,6459,,
13/04/2021,394118,6482,,
14/04/2021,394779,6489,,
15/04/2021,396109,6504,,
16/04/2021,397088,6513,,
17/04/2021,398125,6520,,
18/04/2021,399075,6536,,
19/04/2021,400048,6558,,
20/04/2021,400508,6569,,
21/04/2021,401110,6587,,
22/04/2021,402376,6596,,
23/04/2021,403260,6612,,
24/04/2021,404167,6623,,
25/04/2021,405063,6645,,
26/04/2021,405812,6660,,
27/04/2021,406205,6679,,
28/04/2021,406844,6690,,
29/04/2021,407831,6710,,
30/04/2021,408620,6733,,
01/05/2021,409546,6747,,
02/05/2021,410400,6767,,
03/05/2021,411157,6788,,
04/05/2021,411573,6807,,
05/05/2021,412418,6830,,
06/05/2021,413323,6850,,
07/05/2021,414106,6872,,
08/05/2021,414838,6896,,
09/05/2021,415647,6911,,
10/05/2021,416341,6933,,
11/05/2021,416747,6952,,
12/05/2021,417403,6973,,
13/05/2021,418188,6973,,
14/05/2021,418820,7003,,
15/05/2021,419047,7066,,
16/05/2021,419208,7082,,
17/05/2021,419629,7107,,
18/05/2021,419920,7130,,
19/05/2021,420459,7149,,
20/05/2021,421354,7169,,
21/05/2021,422210,7184,,
22/05/2021,423142,7196,,
23/05/2021,424009,7207,,
24/05/2021,424828,7225,,
25/05/2021,425212,7239,,
26/05/2021,425829,7250,,
27/05/2021,426769,7271,,
28/05/2021,427462,7288,,
29/05/2021,428269,7296,,
30/05/2021,429333,7309,,
31/05/2021,430059,7327,,
01/06/2021,430578,7349,,
02/06/2021,431179,7361,,
03/06/2021,431893,7381,,
04/06/2021,432799,7402,,
05/06/2021,434116,7423,,
06/06/2021,435135,7438,,
07/06/2021,436332,7457,,
08/06/2021,437087,7478,,
09/06/2021,438458,7499,,
10/06/2021,440554,7523,,
11/06/2021,442847,7543,,
12/06/2021,445302,7557,,
13/06/2021,448071,7571,,
14/06/2021,450793,7609,,
15/06/2021,452295,7634,,
16/06/2021,454671,7665,,
17/06/2021,458815,7713,,
18/06/2021,463552,7777,,
19/06/2021,468447,7836,,
20/06/2021,474029,7905,,
21/06/2021,479043,7976,,
22/06/2021,482264,8014,,
23/06/2021,486957,8057,,
24/06/2021,494462,8107,,
25/06/2021,501396,8177,,
26/06/2021,510667,8220,,
27/06/2021,520061,8269,,
28/06/2021,528409,8348,,
29/06/2021,535788,8426,,
30/06/2021,543468,8486,,
01/07/2021,551009,8528,,
02/07/2021,560408,8547,,
03/07/2021,570110,8577,,
04/07/2021,580595,8652,,
05/07/2021,591498,8779,,
06/07/2021,600937,8861,,
07/07/2021,610303,9042,,
